,,,,,,,Menu Listing,,,
,,,,,,,Nandos (Salwa Road),,,
Date/time:,,,,,,19/01/2023 11:40,,,,
Report filter:,,,,,,"Fields to display is Item Number ,Description , Price 1",,,,
,,,257,Lrg Corn-on-the-COB,19,,,,,
,,,258,Lrg Spinach,19,,,,,
,,,259,Reg Sweet Potato,11,,,,,
,,,260,Lrg Sweet Potato,19,,,,,
,,,261,Reg Minted Rice,11,,,,,
,,,262,Lrg Minted Rice,19,,,,,
,,,263,Reg Sweet Potato Chips,11,,,,,
,,,264,Lrg Sweet Potato Chips,19,,,,,
,,,265,Reg PERi-tato,11,,,,,
,,,266,Lrg PERi-tato,19,,,,,
,,,267,Reg Cauli Mash,11,,,,,
,,,268,Lrg Cauli Mash,19,,,,,
,,,269,Reg Batata Harra,11,,,,,
,,,270,Lrg Batata Harra,19,,,,,
,,,481,Reg Cream Corn Salad,12,,,,,
,,,482,Lrg Cream Corn Salad,20,,,,,
,,,483,Fino Assorted Chips,19,,,,,
,,,484,Fino Sweet Potato,19,,,,,
,,,485,Reg Spicy Rice,12,,,,,
,,,486,Reg Coleslaw,12,,,,,
,,,487,Reg PERi Chips,12,,,,,
,,,488,Reg Chargrilled Veg,12,,,,,
,,,489,Reg Garlic Bread,12,,,,,
,,,490,Reg 3 Bean Salad,12,,,,,
,,,491,Reg PERi Wedges,12,,,,,
,,,492,Reg Corn-on-the-COB,12,,,,,
,,,493,Reg Spinach,12,,,,,
,,,494,Reg Sweet Potato,12,,,,,
,,,495,Reg PERi-tato,12,,,,,
,,,496,Reg Batata Harra,12,,,,,
,,,497,Reg Rainbow Slaw,12,,,,,
,,,498,Lrg Spicy Rice,20,,,,,
,,,499,Lrg Coleslaw,20,,,,,
,,,500,Lrg PERi Chips,20,,,,,
,,,501,Lrg Chargrilled Veg,20,,,,,
,,,502,Lrg Garlic Bread,20,,,,,
,,,503,Lrg 3 Bean Salad,20,,,,,
,,,504,Lrg PERi Wedges,20,,,,,
Page:,,5,,,,,,,ERP Code,
,,,505,Lrg Corn-on-the-COB,20,,,,,
,,,506,Lrg Spinach,20,,,,,
,,,507,Lrg Sweet Potato,20,,,,,
,,,508,Lrg PERi-tato,20,,,,,
,,,509,Lrg Batata Harra,20,,,,,
,,,510,Lrg Rainbow Slaw,20,,,,,
,Page,,,,,,,,,
,SALADS,,,,,,,,,
,,,Item,,Price,,,,,
,,,Number,Description,1,,,,ERP Code,
,,,271,Portuguese Salad,22,,,,,
